,Index,membership_la,user_id,user_language,top_topic,topic_prob
458,177665,22,240634563,English,1,0.786396748
459,177772,22,1628591984,English,1,0.641582707
460,177943,32,1605209461,English,0,0.894444442
461,178075,22,298299774,English,0,0.524999991
462,178165,33,1727359644,English,0,0.687495169
463,178448,22,7.90722E+17,English,0,0.566073958
464,178990,33,2255697943,English,0,0.949999999
465,179001,33,33437697,English,4,0.690334934
466,179271,22,3395983323,English,0,0.659161356
467,179342,22,135027427,English,1,0.558112044
468,179768,22,57931880,English,0,0.956818181
469,179869,22,2180491106,English,0,0.947222221
470,180133,22,909088525,English,0,0.553002686
471,180141,29,199078124,English,0,0.401872457
472,180400,28,121382441,English,0,0.963461538
473,180877,26,376718014,English,0,0.653458441
474,181100,33,7.74819E+17,English,0,0.940624999
475,181333,28,2861493704,English,0,0.864285712
476,182407,28,603016483,English,3,0.735987907
